SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
280139,Cash loans,M,Y,Y,2,135000,592560,31023,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-16986,-677,-5323,-528,1,1,0,1,0,0,4,2,2,SATURDAY,8,0,0,0,0,0,0,Security,0.478557478,0.50648424,7,0,7,0,-494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
284067,Cash loans,M,Y,N,1,427500,450000,22018.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-9648,-605,-3467,-2105,1,1,0,1,0,0,3,2,2,MONDAY,13,0,0,0,1,0,1,Business Entity Type 3,0.594790608,0.113196353,0,0,0,0,-667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213484,Cash loans,F,N,N,0,225000,521280,35262,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.032561,-16874,-6995,-10676,-432,1,1,0,1,1,0,2,1,1,MONDAY,10,0,0,0,0,0,0,Business Entity Type 1,0.73069965,0.492060094,0,0,0,0,-1923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430855,Cash loans,M,N,Y,0,135000,1215000,35523,1215000,Family,Working,Secondary / secondary special,Married,House / apartment,0.015221,-15715,-4499,-452,-32,1,1,0,1,1,0,2,2,2,TUESDAY,15,0,0,0,0,0,0,Business Entity Type 3,0.399612638,0.304672184,0,0,0,0,-465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342521,Cash loans,M,Y,N,1,202500,355536,15790.5,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.020713,-17510,-1263,-92,-928,1,1,0,1,0,0,3,3,2,WEDNESDAY,9,0,0,0,0,0,0,School,0.734874433,,4,0,3,0,-2218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
233048,Cash loans,M,Y,Y,0,112500,450000,23692.5,450000,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.01452,-10645,-715,-4510,-3226,1,1,0,1,0,0,2,2,2,TUESDAY,11,0,0,0,0,1,1,Construction,0.344191494,0.7136314,2,0,2,0,-1319,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
441011,Cash loans,M,N,Y,0,225000,325908,17811,247500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00963,-14897,-1224,-2330,-511,1,1,0,1,0,0,2,2,2,TUESDAY,12,0,1,1,0,0,0,Business Entity Type 3,0.609827529,,0,0,0,0,-1109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
207597,Cash loans,M,N,Y,1,270000,601470,32760,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.018634,-18465,-259,-694,-1818,1,1,0,1,0,1,2,2,2,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.623206493,,2,0,2,0,-314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
282567,Cash loans,F,N,Y,0,67500,95940,9342,90000,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.00712,-15762,-1872,-6073,-4047,1,1,0,1,1,0,1,2,2,FRIDAY,9,0,0,0,0,0,0,Self-employed,0.620697363,,8,0,8,0,-938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
314049,Cash loans,F,N,Y,0,189000,301464,23949,238500,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.019689,-10166,-801,-9893,-2853,1,1,1,1,0,1,1,2,2,MONDAY,10,0,0,0,1,1,0,Government,0.658423247,0.542445144,0,0,0,0,-934,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
